"filename", "language", "XML", "ASP.NET Razor", "C#", "JSON", "CSS", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\BuyProductInProductPage\Default.cshtml", "ASP.NET Razor", 0, 82, 0, 0, 0, 0, 0, 0, 0, 3, 85
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ImagesAreaViewComponent.cs", "C#", 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 27
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ImagesArea\Default.cshtml", "ASP.NET Razor", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\LoggedUserEmailViewComponent.cs", "C#", 0, 0, 25, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\LoggedUserEmail\Default.cshtml", "ASP.NET Razor", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ProductHeaderViewComponent.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ProductHeader\Default.cshtml", "ASP.NET Razor", 0, 162, 0, 0, 0, 0, 0, 0, 0, 3, 165
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ProductViewComponent.cs", "C#", 0, 0, 105, 0, 0, 0, 0, 0, 0, 23, 128
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\Product\Default.cshtml", "ASP.NET Razor", 0, 1857, 0, 0, 0, 0, 0, 0, 0, 942, 2799
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ReviewsAreaViewComponent.cs", "C#", 0, 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\Components\ReviewsArea\Default.cshtml", "ASP.NET Razor", 0, 296, 0, 0, 0, 0, 0, 0, 0, 17, 313
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\_Layout.cshtml", "ASP.NET Razor", 0, 147, 0, 0, 0, 0, 0, 0, 0, 13, 160
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\_Layout.cshtml.css", "CSS", 0, 0, 0, 0, 44, 0, 0, 0, 2, 10, 56
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\Shared\_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\UserSettingsPanel.cshtml", "ASP.NET Razor", 0, 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\UserSettingsPanel.cshtml.cs", "C#", 0, 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\_ViewImports.cshtml", "ASP.NET Razor", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\_ViewStart.cshtml", "ASP.NET Razor", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\login.cshtml.cs", "C#", 0, 0, 57, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Pages\register.cshtml.cs", "C#", 0, 0, 97, 0, 0, 0, 0, 0, 2, 28, 127
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Program.cs", "C#", 0, 0, 34, 0, 0, 0, 0, 0, 3, 13, 50
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\Properties\launchSettings.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\appsettings.Development.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\appsettings.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\css\loginAndRegister.css", "CSS", 0, 0, 0, 0, 76, 0, 0, 0, 1, 15, 92
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\css\productView.css", "CSS", 0, 0, 0, 0, 116, 0, 0, 0, 0, 30, 146
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\css\site.css", "CSS", 0, 0, 0, 0, 119, 0, 0, 0, 3, 18, 140
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\config.json", "JSON", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 52
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\animation.css", "CSS", 0, 0, 0, 0, 77, 0, 0, 0, 3, 6, 86
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\fontello-codes.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\fontello-embedded.css", "CSS", 0, 0, 0, 0, 37, 0, 0, 0, 20, 10, 67
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\fontello-ie7-codes.css", "CSS", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\fontello-ie7.css", "CSS", 0, 0, 0, 0, 13, 0, 0, 0, 3, 4, 20
"c:\Users\Miłosz\source\repos\PracaInzynierska\App\wwwroot\fonts\fontello-82b3d7a7\css\fontello.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 20, 9, 64
